"exemple"
amount,account_age,num_transactions,transaction_type,merchant_category,label
1878.9551930483387,7.011800968795477,47,offline,others,0
4754.064388985482,5.407354026806792,12,offline,electronics,0
3662.6497696389115,3.164323401234645,62,offline,electronics,0
2997.3058361432127,8.156570695098791,80,offline,others,0
788.5330158077583,6.878838608283405,88,transfer,others,0
788.4126564776512,1.709907699514424,83,transfer,food,0
299.8372247193153,9.118179126489041,8,transfer,others,1
4332.218967416927,8.243118704939373,95,online,food,0
3009.5639085986118,9.503019141590048,21,offline,electronics,0
3543.282163202267,7.2846231330447635,81,offline,food,1
112.7166265360542,6.172810439764319,87,transfer,others,0
4849.850162288351,4.240606059277127,80,offline,electronics,0
4163.888777594105,9.33401198520473,70,offline,clothing,0
1069.572162284598,8.674032506054044,72,transfer,food,0
917.3065863634321,0.5476648340512752,25,online,electronics,1
925.1885041686347,0.36103304752279486,82,online,food,0
1528.1687923680931,3.826987332092691,89,online,electronics,0
2628.534593844867,8.124477974740145,12,transfer,electronics,0
2165.4056430241576,9.87403368021795,15,offline,food,0
1463.233409588229,1.589127221924929,59,transfer,clothing,0
3063.1459446646736,5.9818940819861375,26,transfer,electronics,0
706.0743646536888,3.8708194806471132,26,offline,electronics,0
1467.8017961907385,9.702152538364572,47,online,electronics,0
1838.1455980355215,8.436977339043516,32,online,clothing,0
2285.7892212430093,8.399454176640266,10,transfer,clothing,0
3928.028047351138,4.740062281970205,16,online,others,1
1006.372172970215,4.206713073142885,71,transfer,food,0
2576.029847683922,2.806730012113992,17,transfer,clothing,0
2966.148698621592,0.6581174168441785,23,offline,food,0
241.78755947278864,8.660751524925027,26,offline,others,0
3041.6488109881775,8.147719990387769,85,offline,food,1
860.9153771995848,9.997204965532692,86,transfer,clothing,1
334.6074489965448,9.966704687031664,7,offline,food,0
4744.9388308941325,5.598773885466011,14,online,clothing,0
4828.503845042052,7.712975410287054,79,online,food,1
4043.902767101141,9.453180725836038,7,transfer,clothing,1
1530.0227081751198,8.511509167706373,9,transfer,clothing,0
497.3838488918555,2.5487462072576568,48,offline,food,0
3424.3228022956628,4.560386939569925,72,transfer,others,1
2206.3609437606106,1.3786782099998005,59,transfer,electronics,0
618.9707918754464,9.545105169861351,87,online,others,0
2480.932781455238,6.101128881063712,93,online,food,0
181.5987203649398,2.3635637744842812,82,offline,others,0
4547.508806373123,6.749836775617982,95,transfer,clothing,1
1301.3121081840843,6.219469580533168,94,transfer,electronics,0
3315.98619892637,3.6458109085251214,39,online,food,0
1565.4382696861608,1.2242201627763274,99,transfer,food,0
2605.139425677276,6.748574636368716,18,online,food,0
2738.0842939229656,5.251046238947554,59,offline,electronics,0
932.42373307238,7.745952078182829,17,online,clothing,0
4848.227292545147,5.249618661008735,14,transfer,food,1
3877.9127885719618,8.536596853153547,31,offline,others,1
4698.099718405304,5.563877703867407,24,online,food,1
4475.188478633968,5.653285918200324,99,online,food,0
2993.520894267315,8.778870666317616,60,offline,food,0
4610.152432765353,4.094480375502731,45,offline,food,1
451.5775852390783,1.4267507616613433,98,online,clothing,0
987.9544834715346,0.3849484955020559,3,transfer,others,1
235.68417166358495,7.575858831168828,37,online,clothing,0
1633.398350508689,6.2410645583993,43,offline,others,0
1949.4996755505151,7.070389704182313,40,online,food,0
1364.0316685517405,2.2083451989382166,90,offline,electronics,0
4145.400170668127,1.4500776083090208,55,offline,clothing,0
1790.1991002010104,0.2439921901120311,87,transfer,electronics,0
1411.86320334003,3.57081683218531,39,offline,clothing,0
2718.05345495966,5.940185099860868,15,offline,food,0
713.2118826240657,3.98321604648735,4,transfer,clothing,1
4012.962933962658,4.431001728034918,93,offline,food,0
382.0077119620564,9.05117107548811,86,transfer,clothing,0
4934.565813636581,3.5477291235306736,25,transfer,food,0
3863.5013987903203,5.188495942682127,13,offline,food,1
1001.5912508555203,7.858164826137316,82,offline,others,0
37.55536444677597,4.0257735449805745,33,online,food,0
4079.1525279896223,6.258658332255948,16,transfer,others,1
3537.2181457996094,8.637400716592778,42,online,food,0
3647.7457685245267,9.500254174210657,66,offline,electronics,0
3858.6390299628692,1.5560274611974758,55,online,food,0
379.4828121531109,9.273217489098794,99,transfer,electronics,0
1798.7439854359204,4.971951301487428,42,online,electronics,0
588.1866070303972,2.6566194441596878,34,transfer,food,0
4316.886095119212,4.645443986758787,30,offline,electronics,1
3120.257652869514,9.802322495326223,13,offline,others,0
1661.1811440147194,4.976919130529409,13,transfer,clothing,0
327.1561679272579,3.3546409418463314,18,offline,food,0
1561.8017853611543,6.370668457735585,32,offline,electronics,0
1632.6647769134677,2.4774416259041114,96,offline,food,0
3650.73482990694,0.8510469482757728,99,offline,others,1
3191.4117820625133,1.3759092469154275,39,transfer,food,0
4437.191585455869,1.3676538056819474,46,online,food,0
2366.352476558127,1.6038366657717142,29,online,electronics,0
606.7752872321255,1.4743890092291605,62,offline,others,0
3569.091488242745,6.444659973551825,93,online,clothing,0
3806.3173925983183,1.900612835551534,62,online,clothing,0
2810.7732158717863,3.522106104906246,57,offline,electronics,0
3857.126227973259,8.978205258069517,16,offline,food,1
2474.04002585831,4.792220238602436,56,online,electronics,0
2618.4368186161505,6.708821611358169,10,transfer,electronics,0
2143.429681609163,1.8059667248961355,30,offline,electronics,0
136.84144245303497,2.003661286205841,25,transfer,food,0
548.3782206965892,0.5045993010381408,84,online,others,1
166.8316365768039,1.7724571244144292,5,offline,electronics,0
3185.687952206264,2.8580443564163907,65,transfer,food,1
1578.6363455708702,1.8524037943397935,94,offline,others,0
2547.767748911867,0.9781550841948505,49,online,electronics,0
4538.756704891204,1.2942951238959481,3,transfer,clothing,1
1253.968223452886,4.661709803523985,45,online,others,0
2057.8107859477923,2.142703812217346,14,online,electronics,0
3780.200181329813,3.7062716243759475,30,offline,others,0
1151.7028458031962,5.083830981463083,68,transfer,others,1
394.12975004567704,6.934908803430717,18,online,others,0
1455.8597500397025,0.48919018442687945,62,online,others,0
814.4942233974821,8.014162949199523,37,transfer,others,1
4649.191285189439,6.316213855959987,25,online,others,1
4042.5206940264407,0.9094144162938319,48,online,electronics,1
3170.684744987013,8.748428378657094,65,transfer,clothing,0
4358.588345036711,9.216636765264951,53,transfer,food,1
4020.3236637265813,0.7046718025631511,79,transfer,others,1
940.9845938413189,2.841088716657317,73,transfer,food,0
4463.869402464989,8.081392669951308,15,offline,electronics,1
2701.317787159097,7.507770934798217,49,transfer,others,0
4039.126374268672,1.9267580916281357,88,offline,clothing,0
4481.495586618231,2.172558301033432,68,offline,food,1
